county_2,subCounty_2,ward_2,lhz,studyGroup,team_2
Samburu,North,Angata Nanyokie,1,1,1
Samburu,North,Baawa,1,1,1
Kilifi,Ganze Sub County,Bamba,5,2,9
Baringo,Baringo North,Bartabwa,3,1,8
Wajir,Wajir East Sub County,Barwaqo,2,2,7
Baringo,Baringo North Sub County,Barwessa,3,2,8
Garissa,Lagdera,Benane,2,1,7
Isiolo,Isiolo Sub County,BULA PESA,2,2,1
Taita Taveta,Mwatate Sub County,Bura,5,2,5
Isiolo,Isiolo,Burat,2,1,1
Wajir,Wajir South Sub County,Burder,2,2,7
Tana River,,Chewani,2,1,9
Baringo,Tiaty Sub County,Churo/amaya,3,2,8
Kilifi,Kilifi North Sub County,Dabaso,5,2,9
Garissa,Dadaab Sub County,Dadaab,2,2,7
Garissa,Balambala,Danyere,2,1,7
Baringo,Mogotio,Emining,3,1,8
Kitui,Kitui East Sub County,Endau/malalani,4,2,7
Baringo,Baringo Central Sub County,Ewalel,3,2,8
Baringo,Baringo Central Sub County,Ewalel/chapchap,3,2,8
Tana River,Garsen Sub County,Garsen central,2,2,9
Tana River,,Garsen South,2,1,9
Wajir,Wajir North Sub County,Godoma,2,2,7
Marsabit,Moyale,Golbo,1,1,4
Garissa,Lagdera Sub County,Goreale,2,2,7
Wajir,Wajir South Sub County,Habasswein,2,2,7
Tana River,,Hirimani,2,1,9
Baringo,Marigat Sub County,Iichamus,3,2,8
Garissa,Ijara,Ijara,2,1,7
Baringo,Baringo South,Ilchamus,3,1,8
Kilifi,Kilifi South Sub County,Junju,5,2,9
Turkana,Turkana North,Kaaleng/Kaikor,1,1,6
Baringo,Baringo Central Sub County,Kabarnet,3,2,8
Baringo,Baringo North Sub County,Kabartonjo,3,2,8
Turkana,Turkana West,Kakuma,1,1,6
Makueni,Mbooni  Sub County,Kalawa/ Kathulumbi,4,2,7
Turkana,Turkana West,Kalobeyei,1,1,6
Turkana,Turkana Central Sub County,Kalokol,1,2,6
Taita Taveta,Voi Sub County,Kaloleni ,5,2,5
Turkana,Turkana Central Sub County,Kanamkemer,1,2,6
Kitui,Kitui Rural Sub County,Kanyangi,4,2,7
Kitui,Kitui South Sub County,Kanziko,4,2,7
Baringo,Baringo Central Sub County,Kapropita,3,2,8
Marsabit,Laisamis,Kargi/South Horr,1,1,4
Makueni,Makueni  Sub County,Kathonzweni,4,2,7
Turkana,Turkana East,Katilia,1,1,6
Kitui,Kitui West  Sub County,Kauwi,4,2,7
Turkana,Turkana Central,Kerio Delta,1,1,6
Isiolo,Isiolo South,Kinna,2,1,1
Baringo,Mogotio,Kisanana,3,1,8
Baringo,Koibatek Sub County,Koibatek,3,2,8
Baringo,Tiaty,Kolowa,3,1,8
Kitui,Kitui Central  Sub County,Kyangwithya east,4,2,7
Marsabit,LAISAMIS,LAISAMIS,1,2,4
Turkana,Turkana North,Lapur?,1,1,6
Baringo,Koibatek Sub County,Lembus,3,2,8
Baringo,Koibatek Sub County,Lembus Soi,3,2,8
Baringo,Koibatek Sub County,Lembus/Perkerra,3,2,8
Turkana,Turkana West,Letea,1,1,6
Turkana,Loima,Lobei/Koraruk,1,1,6
Turkana,Turkana South Sub County,Lobokat,1,2,6
Samburu,Central,Lodokejek,1,1,1
Marsabit,Laisamis,Logologo,1,1,4
Baringo,Tiaty Sub County,Loiyamorok,3,2,8
Marsabit,LAISAMIS,LOIYANGALANI,1,2,4
Turkana,Turkana West,Lokichoggio,1,1,6
Turkana,Loima,Lokiriama/Lorengippi,1,1,6
Turkana,Turkana East Sub County,Lokori/kochodin,1,2,6
Turkana,Turkana West Sub County,Lopur,1,2,6
Baringo,Tiaty,Loyamorok,3,1,8
Garissa,Lagdera Sub County,Maalimin,2,2,7
Garissa,Lagdera,Maalimini,2,1,7
Marsabit,NORTH HORR,MAIKONA,1,2,4
Kilifi,,Malindi,5,2,9
Kilifi,Malindi Sub County,Malindi Town,5,2,9
Kilifi,Magarini Sub County,Marafa,5,2,9
Kilifi,Kaloleni Sub County,Mariakani,5,2,9
Baringo,Baringo South,Marigat,3,1,8
Garissa,Ijara,Masalani,2,1,7
Makueni,Kibwezi East  Sub County,Masongaleni,4,2,7
Kilifi,Kilifi North Sub County,Matsangoni,5,2,9
Kitui,Kitui Rural Sub County,Mbitini,4,2,7
Makueni,Mbooni  Sub County,Mbooni,4,2,7
Baringo,Baringo South,Mchongoi,3,1,8
Kitui,Mwingi West Sub County,Migwani,4,2,7
Baringo,Marigat Sub County,Mochongoi,3,2,8
Baringo,Mogotio Sub County,Mogotio,3,2,8
Baringo,Baringo South,Mukutani,3,1,8
Baringo,Koibatek Sub County,Mumberes/Maji Mazuri,3,2,8
Taita Taveta,,Mwatate,5,2,5
Kwale,Kinango Sub County,Mwavumbo,5,2,5
Turkana,Turkana North,Nakalale,1,1,6
Turkana,Turkana West,Nanam,1,1,6
Garissa,Fafi,Nanighi,2,1,7
Kwale,Kinango Sub County,Ndavaya,5,2,5
